name,series_id
  CredAbility Consumer Distress Index for District of Columbia (DISCONTINUED),CCDIOADCQ156N
  CredAbility Consumer Distress Index for West Virginia (DISCONTINUED),CCDIOAWVQ156N
  CredAbility Consumer Distress Index for Illinois (DISCONTINUED),CCDIOAILQ156N
  CredAbility Consumer Distress Index for Texas (DISCONTINUED),CCDIOATXQ156N
  CredAbility Consumer Distress Index for Employment (DISCONTINUED),CCDIEMQ156N
  CredAbility Consumer Distress Index for Minnesota (DISCONTINUED),CCDIOAMNQ156N
"  CredAbility Consumer Distress Index for Virginia Beach-Norfolk-Newport News, VA-NC (MSA) (DISCONTINUED)",CCDIOA47260Q156N
"  CredAbility Consumer Distress Index for Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",CCDIOA31100Q156N
  CredAbility Consumer Distress Index for Net Worth (DISCONTINUED),CCDINWQ156N
  CredAbility Consumer Distress Index for New Mexico (DISCONTINUED),CCDIOANMQ156N
"  CredAbility Consumer Distress Index for New York-Northern New Jersey-Long Island, NY-NJ-PA (MSA) (DISCONTINUED)",CCDIOA35620Q156N
  CredAbility Consumer Distress Index for Credit (DISCONTINUED),CCDICRQ156N
  CredAbility Consumer Distress Index for Housing (DISCONTINUED),CCDIHSQ156N
  CredAbility Consumer Distress Index for Household Budget (DISCONTINUED),CCDIHBQ156N
  CredAbility Consumer Distress Index (DISCONTINUED),CCDIOAQ156N
  CBOE S&P 100 Volatility Index: VXO (DISCONTINUED),VXOCLS
  CBOE 10-Year Treasury Note Volatility Futures (DISCONTINUED),VXTYN
  CBOE China ETF Volatility Index (DISCONTINUED),VXFXICLS
  CBOE Crude Oil ETF Volatility Index,OVXCLS
  CBOE S&P 500 3-Month Volatility Index,VXVCLS
  CBOE Gold ETF Volatility Index,GVZCLS
